TIME(ms),HEXAGONS,COMPLETE,TIMELAPSED(s),AA,DISPLAY,FULLSCREEN
1380989784473,1000,true,31.971 seconds,true,1920x1080,true
1380989896032,1000,true,26.345 seconds,true,1020x480,false
1380989968351,1000,true,29.654 seconds,true,1280x720,true
1380990025945,1000,true,31.691 seconds,true,1280x720,false
1380990157823,1000,true,31.789 seconds,true,1920x1080,true
1381034413955,1000,true,35.854 seconds,true,1920x1080,true
1381034500798,1000,true,32.067 seconds,true,1920x1080,true
1381034849751,1000,true,31.896 seconds,true,1920x1080,true
1381035025614,1000,true,31.632 seconds,true,2560x1440,false
1381035118026,1000,true,27.534 seconds,true,1920x1080,true
1381035719665,1000,true,34.628 seconds,true,1920x1080,true
1381035901045,1000,true,30.16 seconds,true,1920x1080,true
1381035963158,1000,true,29.64 seconds,true,1920x1080,true
1381036041676,1000,true,28.916 seconds,true,1920x1080,true
1381036129113,1000,true,28.648 seconds,true,1920x1080,true
1381036449168,1000,true,31.643 seconds,true,1920x1080,true
1381036508713,1000,true,33.04 seconds,true,1920x1080,true
1381036856284,1000,true,29.644 seconds,true,1920x1080,true
1381071716073,1000,true,31.906 seconds,true,1920x1080,true
1381072028719,2000,true,247.796 seconds,true,1920x1080,true
1381072220282,1000,true,27.137 seconds,true,1920x1080,true
1381072275745,1000,true,26.419 seconds,true,800x600,false
1381072445629,1000,true,31.011 seconds,true,800x600,false
1381072530770,1000,true,28.022 seconds,true,1366x768,false
1381072651619,1000,true,29.694 seconds,true,1366x768,false
1381086410739,1000,true,26.538 seconds,true,1366x768,false
1381086478394,1000,true,32.315 seconds,true,1920x1080,true
1381086593459,1000,true,28.298 seconds,true,1920x1080,true
1381086705122,1000,true,34.403 seconds,true,1920x1080,true
1381086787788,1000,true,28.482 seconds,true,1920x1080,true
1381086843522,1000,true,27.392 seconds,true,1920x1080,true
1381086955480,1000,true,30.157 seconds,true,1920x1080,true
1381087043042,1000,true,34.159 seconds,true,1920x1080,true
1381087104323,1000,true,34.1 seconds,true,1920x1080,true
1381087419750,1000,true,30.484 seconds,true,1280x720,false
1381088178944,1000,true,38.958 seconds,true,1920x1080,true
1381088326472,1000,true,31.917 seconds,true,1920x1080,true
1381088491017,1000,true,29.534 seconds,true,1920x1080,true
1381088596658,1000,true,32.208 seconds,true,1920x1080,true
1381088828765,1000,true,32.915 seconds,true,1920x1080,true
1381089070117,1775,true,146.231 seconds,true,1920x1080,true
1381089545163,1236,true,52.519 seconds,true,1920x1080,true
1381089675164,551,true,8.484 seconds,true,1920x1080,true
1381089682371,9,true,2.795 seconds,true,1920x1080,true
1381089796016,1527,true,106.999 seconds,true,1920x1080,true
1381089873586,900,true,26.081 seconds,true,1920x1080,true
1381089958466,580,true,9.351 seconds,true,1920x1080,true
1381089975195,174,true,3.387 seconds,true,1920x1080,true
1381090021579,922,true,28.497 seconds,true,1920x1080,true
1381090097681,1247,true,69.003 seconds,true,1920x1080,true
1381090155479,820,true,18.451 seconds,true,1920x1080,true
1381090294081,1638,true,126.969 seconds,true,1920x1080,true
1381090314586,492,true,7.672 seconds,true,1920x1080,true
1381091081628,746,true,15.885 seconds,true,1920x1080,true
1381091368247,313,true,4.423 seconds,true,1920x1080,true
1381091380653,61,true,3.301 seconds,true,1920x1080,true
1381091442640,206,true,4.314 seconds,true,1920x1080,true
1381091498688,1125,true,50.982 seconds,true,1920x1080,true
1381092541783,134,true,3.224 seconds,true,1920x1080,true
1381092643874,1459,true,91.7 seconds,true,1920x1080,true
1381092847621,1890,true,167.663 seconds,true,1920x1080,true
1381093052461,1246,true,59.79 seconds,true,1920x1080,true
1381093302406,46,true,1.747 seconds,true,1366x768,false
1381093349376,1045,true,32.131 seconds,true,1366x768,false
1381096365953,1000,true,29.39 seconds,true,1920x1080,true
1381096475152,1500,true,93.059 seconds,true,1920x1080,true
1381096827197,1500,true,95.921 seconds,true,1920x1080,true
1381098972203,750,true,15.345 seconds,true,1920x1080,true
1381099524419,750,true,15.678 seconds,true,1920x1080,true
1381099714532,297,true,4.533 seconds,true,1920x1080,true
1381100052558,277,true,3.985 seconds,true,1920x1080,true
1381100327211,499,true,7.102 seconds,true,1920x1080,true
1381101853933,208,true,4.21 seconds,true,1920x1080,true
1381101883481,750,true,16.238 seconds,true,1920x1080,true
1381103240273,1000,true,35.767 seconds,true,1920x1080,true
1381103455921,1000,true,37.666 seconds,true,1920x1080,true
1381103597899,1000,true,29.63 seconds,true,1920x1080,true
1381103712169,1000,true,40.477 seconds,true,1920x1080,true
1381103783454,1000,true,29.818 seconds,true,1920x1080,true
1381104014583,1000,true,28.284 seconds,true,1920x1080,true
1381104095701,1000,true,32.103 seconds,true,1920x1080,true
1381104262787,1000,true,14.546 seconds,true,1920x1080,true
1381104430703,1000,true,29.927 seconds,true,1920x1080,true
1381105232519,1000,true,37.006 seconds,true,1920x1080,true
1381105935411,1000,true,33.258 seconds,true,1920x1080,true
1381106212996,1000,true,29.494 seconds,true,1920x1080,true
1381106279291,1000,true,31.398 seconds,true,1920x1080,true
1381106695383,1500,true,86.948 seconds,true,1280x720,false
1381106816032,1500,true,85.367 seconds,true,1280x720,false
1381108290553,1500,true,84.813 seconds,true,1280x720,false
1381108548221,1500,true,91.221 seconds,true,1280x720,false
1381109722330,1500,true,90.205 seconds,true,1280x720,false
1381110011891,1500,true,88.277 seconds,true,1280x720,false
1381113096011,1500,true,87.206 seconds,true,1280x720,false
1381113318285,1500,true,95.476 seconds,true,1280x720,false
1381157746637,1000,true,30.788 seconds,true,1280x720,false
1381159197644,1000,true,27.613 seconds,true,1280x720,false
1381159311633,1000,true,31.375 seconds,true,1280x720,false
1381159425844,1000,true,28.626 seconds,true,1280x720,false
1381159744543,1000,true,25.864 seconds,true,1280x720,false
1381159808352,1000,true,32.769 seconds,true,1280x720,false
1381159953374,1000,true,28.588 seconds,true,1280x720,false
1381160054429,1000,true,29.459 seconds,true,1280x720,false
1381160160239,1000,true,33.347 seconds,true,1280x720,false
1381160333675,119,true,1.949 seconds,true,1280x720,false
1381160357405,817,true,21.093 seconds,true,1280x720,false
1381160460494,791,true,16.907 seconds,true,1280x720,false
1381160602402,184,true,2.247 seconds,true,1280x720,false
1381160611583,380,true,3.62 seconds,true,1280x720,false
1381160621878,460,true,5.226 seconds,true,1280x720,false
1381160987766,906,true,22.455 seconds,true,1920x1080,true
1381161098750,1500,true,92.547 seconds,true,1920x1080,true
1381161341716,2000,true,194.786 seconds,true,1920x1080,true
1381162118289,3000,true,747.575 seconds,true,1920x1080,true
1381170578954,3000,true,700.519 seconds,true,1280x720,false
1381185452346,0,false,24.846 seconds,true,1280x720,false
1381185510580,0,false,24.356 seconds,true,1280x720,false
1381185846238,0,false,23.556 seconds,true,1280x720,false
1381185977913,0,false,24.708 seconds,true,1280x720,false
1381186121539,0,false,24.808 seconds,true,1280x720,false
1381186459834,1000,true,26.989 seconds,true,1280x720,false
1381271899703,1000,true,30.054 seconds,true,1280x720,false
1381274570874,1000,true,27.896 seconds,true,1280x720,false
1381351556143,1000,true,31.534 seconds,true,1920x1080,true
1381352383751,1000,true,33.327 seconds,true,1920x1080,true
1381352812715,1000,true,31.168 seconds,true,1920x1080,true
1381353239083,1000,true,28.859 seconds,true,1920x1080,true
1381353435090,1000,true,27.726 seconds,true,1920x1080,true
1381353541352,1000,true,29.907 seconds,true,1920x1080,true
1381355803004,1000,true,34.565 seconds,true,1920x1080,true
1381355937549,1000,true,32.729 seconds,true,1920x1080,true
1381356019874,1000,true,31.076 seconds,true,1920x1080,true
1381356200425,1000,true,29.347 seconds,true,1920x1080,true
1381356351115,1000,true,33.083 seconds,true,1920x1080,true
1381369471507,1500,true,87.431 seconds,true,1920x1080,true
1381369569888,1500,true,87.893 seconds,true,1920x1080,true
1381374269578,1000,true,37.267 seconds,true,1920x1080,true
1381374369302,1000,true,37.863 seconds,true,1920x1080,true
1381376870551,1000,true,30.6 seconds,true,1920x1080,true
1381377060354,1000,true,30.824 seconds,true,1920x1080,true
1381377118448,1000,true,32.247 seconds,true,1920x1080,true
1381377174590,1000,true,30.582 seconds,true,1920x1080,true
1381377335097,1000,true,33.714 seconds,true,1920x1080,true
1381377484973,1000,true,15.029 seconds,true,1920x1080,true
1381377703336,1000,true,29.64 seconds,true,1920x1080,true
1381420222177,1000,true,28.726 seconds,true,1920x1080,true
1381420712341,1000,true,33.58 seconds,true,1920x1080,true
1381420808146,1000,true,30.109 seconds,true,1920x1080,true
1381420914588,1000,true,29.407 seconds,true,1920x1080,true
1381421279595,1000,true,31.852 seconds,true,1920x1080,true
1381422354667,1000,true,32.321 seconds,true,1920x1080,true
1381422601282,1000,true,28.154 seconds,true,1920x1080,true
1381422739752,1000,true,36.466 seconds,true,1920x1080,true
1381423147060,1000,true,35.511 seconds,true,1920x1080,true
1381424089649,1000,true,33.951 seconds,true,1920x1080,true
1381424154713,1000,true,32.546 seconds,true,1920x1080,true
1381424398405,1000,true,28.928 seconds,true,1920x1080,true
1381424798930,1000,true,34.964 seconds,true,1920x1080,true
1381425317264,1000,true,29.998 seconds,true,800x600,true
1381425829482,1000,true,36.56 seconds,true,1920x1080,true
1381450202241,1000,true,31.812 seconds,true,1920x1080,true
1381450795391,1000,true,30.271 seconds,true,1920x1080,true
1381450893704,1000,true,32.555 seconds,true,1366x768,false
1381451160618,1000,true,27.146 seconds,true,1366x768,false
1381451189827,1000,true,26.498 seconds,true,1366x768,false
1381451454038,1000,true,31.693 seconds,true,1366x768,false
1381451676767,1000,true,29.106 seconds,true,1366x768,false
1381451772254,1500,true,80.299 seconds,true,1366x768,false
1381452009060,1500,true,85.572 seconds,true,1366x768,false
1381452150254,1500,true,86.348 seconds,true,1366x768,false
1381463160625,1000,true,29.603 seconds,true,1366x768,true
1381463238530,1000,true,30.153 seconds,true,1366x768,true
1381463353522,1000,true,30.923 seconds,true,1366x768,true
1381463465667,1000,true,32.654 seconds,true,1366x768,true
1381464099299,1000,true,34.825 seconds,true,1366x768,true
1381464172202,1000,true,27.44 seconds,true,1366x768,true
1381464228632,1000,true,29.444 seconds,true,1366x768,true
1381464324740,1000,true,30.974 seconds,true,1366x768,true
1381464817965,1000,true,26.803 seconds,true,1366x768,true
1381465255058,1000,true,30.916 seconds,true,1366x768,true
1381465434831,1000,true,28.567 seconds,true,1366x768,true
1381465868767,1000,true,28.387 seconds,true,1366x768,true
1381466420135,1000,true,30.097 seconds,true,1366x768,true
1381466498503,1000,true,31.218 seconds,true,1366x768,true
1381466802913,1000,true,28.035 seconds,true,1366x768,true
1381467055338,1000,true,33.893 seconds,true,1366x768,true
1381467175181,1000,true,30.144 seconds,true,1366x768,true
1381467392123,1000,true,32.936 seconds,true,1366x768,true
1381497066425,1000,true,32.55 seconds,true,1366x768,true
1381508280180,1000,true,30.244 seconds,true,1366x768,true
1381508497189,1000,true,30.285 seconds,true,1366x768,true